姓名,性別,年紀,體重,chest_max,shoulder_max,hand_max,back_max,belly_max,leg_max,胸體力值,肩體力值,手體力值,背體力值,腹體力值,腿體力值,菜單,菜單評分,難度
User_50,0,29,63.9,223,317,370,342,344,427,223,317,370,342,344,427,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': ['前平舉'], 'hand_menu': ['彈力帶二頭肌彎舉'], 'leg_menu': [], 'belly_menu': ['超人式', '眼鏡蛇式']}",4.607904114773447,1
User_51,1,61,68.6,307,385,410,254,409,328,307,385,410,254,409,328,"{'chest_menu': ['窄距臥推', '吊環飛鳥'], 'back_menu': ['引體向上', 'Cable機器划船', '反向高位下拉', '直臂下拉'], 'shoulder_menu': ['阿諾推舉'], 'hand_menu': ['過頭啞鈴伸展'], 'leg_menu': ['側臥抬腿', '驢子踢腿', '後踢腿', '過頭深蹲'], 'belly_menu': ['超人式', '腹肌滾輪', '羅馬椅仰臥起坐', '瑞士球捲腹']}",17.815284275244284,4
User_52,1,53,57.5,227,473,497,294,386,436,227,473,497,294,386,436,"{'chest_menu': ['啞鈴飛鳥'], 'back_menu': [], 'shoulder_menu': ['前平舉'], 'hand_menu': ['反手彎舉'], 'leg_menu': [], 'belly_menu': []}",3.8849855445337598,2
User_53,1,39,62.8,380,490,268,398,356,438,380,490,268,398,356,438,"{'chest_menu': ['啞鈴飛鳥'], 'back_menu': [], 'shoulder_menu': ['臉拉', '側平舉'], 'hand_menu': ['啞鈴過頭伸展'], 'leg_menu': ['體前屈'], 'belly_menu': []}",6.004275300223638,2
User_54,1,23,63.4,255,296,311,363,484,385,255,296,311,363,484,385,"{'chest_menu': ['跪姿伏地挺身', 'Cable機器飛鳥', '啞鈴臥推'], 'back_menu': ['直臂下拉'], 'shoulder_menu': ['肩上推舉'], 'hand_menu': ['反向握法彎舉', '鋼索三頭肌下壓'], 'leg_menu': ['單腿硬舉'], 'belly_menu': ['自行車式仰臥起坐']}",10.805125603657094,5
User_55,0,42,79.3,258,405,465,230,235,407,258,405,465,230,235,407,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': ['前平舉'], 'hand_menu': [], 'leg_menu': [], 'belly_menu': []}",1.243065907283574,1
User_56,1,35,55.6,272,245,481,441,442,460,272,245,481,441,442,460,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': ['彈力帶三頭肌伸展'], 'leg_menu': ['後踢腿', '膝蓋深蹲'], 'belly_menu': []}",2.794415021364081,1
User_57,1,62,60.3,207,266,474,275,444,249,207,266,474,275,444,249,"{'chest_menu': ['Cable機器飛鳥', '蝴蝶機夾胸', '窄距臥推'], 'back_menu': ['吊環引體向上', '單臂高位下拉'], 'shoulder_menu': ['坐姿啞鈴肩推'], 'hand_menu': ['反手彎舉', '鎚式彎舉', '過頭啞鈴伸展', '反向握法彎舉'], 'leg_menu': ['硬舉'], 'belly_menu': ['懸垂舉腿']}",15.61828386646235,4
User_58,1,51,89.4,301,332,359,274,329,215,301,332,359,274,329,215,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': ['彈力帶二頭肌彎舉'], 'leg_menu': ['膝蓋深蹲', '後踢腿'], 'belly_menu': []}",2.794415021364081,1
User_59,1,50,56.2,203,281,408,352,316,322,203,281,408,352,316,322,"{'chest_menu': ['跪姿伏地挺身'], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': [], 'leg_menu': [], 'belly_menu': ['毛巾捲腹', '棒式側邊抬腿']}",3.2126803487373117,1
User_60,0,43,93.2,243,288,324,425,480,232,243,288,324,425,480,232,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': ['面朝下肩部伸展'], 'hand_menu': [], 'leg_menu': [], 'belly_menu': ['提膝仰臥起坐']}",2.389380846212585,1
User_61,1,28,74.8,424,443,269,211,250,499,424,443,269,211,250,499,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': [], 'leg_menu': [], 'belly_menu': []}",0.0,1
User_62,1,59,84.4,474,272,283,312,480,388,474,272,283,312,480,388,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': [], 'leg_menu': ['驢子踢腿', '側臥抬腿'], 'belly_menu': []}",1.5130163179231724,1
User_63,0,36,87.7,233,280,448,217,417,469,233,280,448,217,417,469,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': ['彈力帶三頭肌伸展'], 'leg_menu': [], 'belly_menu': []}",1.392649903288201,1
User_64,1,62,75.4,346,427,379,477,298,318,346,427,379,477,298,318,"{'chest_menu': ['蜘蛛人伏地挺身'], 'back_menu': ['坐姿划船', '單臂啞鈴划船'], 'shoulder_menu': ['槓鈴肩推', '臉拉', '蝴蝶機反向飛鳥'], 'hand_menu': ['彈力帶三頭肌伸展'], 'leg_menu': ['小腿提踵', '深蹲'], 'belly_menu': ['鳥狗式']}",12.87706778949665,4
User_65,1,64,59.1,300,346,291,254,253,441,300,346,291,254,253,441,"{'chest_menu': ['蜘蛛人伏地挺身'], 'back_menu': ['T槓划船', '坐姿划船', '單臂啞鈴划船'], 'shoulder_menu': ['站姿啞鈴肩推', '阿諾推舉'], 'hand_menu': ['法式推舉', '三頭伸展'], 'leg_menu': ['側弓步', '俄羅斯深蹲', '臀橋'], 'belly_menu': ['眼鏡蛇式', '懸掛舉腿', '俄羅斯轉體']}",16.87814829805169,3
User_66,0,18,58.4,215,476,354,272,324,329,215,476,354,272,324,329,"{'chest_menu': ['窄距伏地挺身', '彈力帶胸部推舉', '吊環飛鳥'], 'back_menu': ['反向划船', '單臂高位下拉'], 'shoulder_menu': ['啞鈴推舉', '蝴蝶機反向飛鳥', '側平舉'], 'hand_menu': ['過頭啞鈴伸展', '鎚式彎舉'], 'leg_menu': [], 'belly_menu': ['提膝仰臥起坐', '仰臥抬腿']}",15.17279889321814,2
User_67,1,21,73.3,231,371,485,302,297,293,231,371,485,302,297,293,"{'chest_menu': [], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': ['彈力帶二頭肌彎舉'], 'leg_menu': ['側臥抬腿'], 'belly_menu': ['毛巾捲腹']}",3.111316791433966,1
User_68,0,64,52.0,322,285,458,352,418,420,322,285,458,352,418,420,"{'chest_menu': ['彈力帶胸部推舉', '上斜啞鈴臥推'], 'back_menu': ['引體向上', '划船', '反向划船'], 'shoulder_menu': ['站姿啞鈴肩推'], 'hand_menu': ['二頭彎舉'], 'leg_menu': ['硬舉', '過頭深蹲'], 'belly_menu': ['棒式側邊抬腿', '俄羅斯轉體', '懸吊式抬腿', '眼鏡蛇式']}",15.426480713988717,5
User_69,1,37,90.5,450,475,307,454,284,332,450,475,307,454,284,332,"{'chest_menu': ['繩索交叉', '吊環飛鳥'], 'back_menu': [], 'shoulder_menu': [], 'hand_menu': ['啞鈴過頭伸展', '鎚式彎舉', '集中彎舉', '彈力帶三頭肌伸展'], 'leg_menu': ['抬腿'], 'belly_menu': ['提膝仰臥起坐', '仰臥抬腿']}",11.358971340560396,2
User_70,1,53,81.9,387,348,209,382,268,323,387,348,209,382,268,323,"{'chest_menu': ['上斜槓鈴臥推', '史密斯臥推'], 'back_menu': ['吊環引體向上'], 'shoulder_menu': ['阿諾推舉', '側平舉', '前平舉'], 'hand_menu': ['啞鈴過頭伸展'], 'leg_menu': ['髖部推力', '保加利亞分腿蹲', '單腿硬舉', '靠牆深蹲'], 'belly_menu': ['V字起坐', '懸垂舉腿', '懸掛舉腿', '懸吊式抬腿']}",17.435878623898944,4
User_71,0,33,95.0,482,320,207,429,255,208,482,320,207,429,255,208,"{'chest_menu': ['跪姿伏地挺身'], 'back_menu': ['Cable機器划船'], 'shoulder_menu': ['阿諾推舉', 'YTWL肩部訓練'], 'hand_menu': ['Zottman彎舉', '法式推舉'], 'leg_menu': ['驢子踢腿'], 'belly_menu': ['懸掛舉腿', '自行車式仰臥起坐']}",11.713445574154346,3
User_72,0,30,93.0,398,323,414,400,374,329,398,323,414,400,374,329,"{'chest_menu': ['窄距臥推'], 'back_menu': ['引體向上', '寬握引體向上', '地雷管划船', '繩索下拉'], 'shoulder_menu': ['前平舉'], 'hand_menu': ['鎚式彎舉', '法式推舉'], 'leg_menu': ['硬舉', '箱式深蹲', '側臥抬腿'], 'belly_menu': ['棒式側邊抬腿']}",14.429636362456316,5
User_73,0,62,73.3,499,443,290,217,496,215,499,443,290,217,496,215,"{'chest_menu': ['蜘蛛人伏地挺身'], 'back_menu': ['T槓划船'], 'shoulder_menu': ['蝴蝶機反向飛鳥', '阿諾推舉'], 'hand_menu': ['彈力帶三頭肌伸展'], 'leg_menu': ['單腿硬舉'], 'belly_menu': ['傑克刀', '俄羅斯轉體', 'V字起坐']}",11.107238473572234,3
